,relationType,argSrc,argTrg,Unnamed: 0.1,Unnamed: 0
4406,attack,"Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves.","Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.",3222.0,2038.0
4407,neither,Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?,"Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves.",3223.0,2039.0
4408,neither,Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?,"Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons.",3224.0,2040.0
4409,support,Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.",3225.0,2041.0
4410,neither,"Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons.","Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves.",3226.0,2042.0
4411,neither,"Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons.",Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?,3227.0,2043.0
4412,support,"Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons.","Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.",3228.0,2044.0
4413,neither,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.","Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves.",3229.0,2045.0
4414,neither,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.",Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?,3230.0,2046.0
4415,neither,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.","Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons.",3231.0,2047.0
4416,neither,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",3232.0,2048.0
4417,neither,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,"Even if one might think that additional rent control is needed besides the current tenant protection,",3233.0,2049.0
4418,neither,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,one should not deny longstanding owners the opportunity to adjust their returns to market level.,3234.0,2050.0
4419,support,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,A cap on rent increases upon tenant change is therefore not to be supported.,3235.0,2051.0
4420,neither,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,3236.0,2052.0
4421,neither,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.","Even if one might think that additional rent control is needed besides the current tenant protection,",3237.0,2053.0
4422,neither,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",one should not deny longstanding owners the opportunity to adjust their returns to market level.,3238.0,2054.0
4423,support,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",A cap on rent increases upon tenant change is therefore not to be supported.,3239.0,2055.0
4424,neither,"Even if one might think that additional rent control is needed besides the current tenant protection,",Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,3240.0,2056.0
4425,neither,"Even if one might think that additional rent control is needed besides the current tenant protection,","In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",3241.0,2057.0
4426,neither,"Even if one might think that additional rent control is needed besides the current tenant protection,",one should not deny longstanding owners the opportunity to adjust their returns to market level.,3242.0,2058.0
4427,attack,"Even if one might think that additional rent control is needed besides the current tenant protection,",A cap on rent increases upon tenant change is therefore not to be supported.,3243.0,2059.0
4428,neither,one should not deny longstanding owners the opportunity to adjust their returns to market level.,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,3244.0,2060.0
4429,neither,one should not deny longstanding owners the opportunity to adjust their returns to market level.,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",3245.0,2061.0
4430,attack,one should not deny longstanding owners the opportunity to adjust their returns to market level.,"Even if one might think that additional rent control is needed besides the current tenant protection,",3246.0,2062.0
4431,neither,one should not deny longstanding owners the opportunity to adjust their returns to market level.,A cap on rent increases upon tenant change is therefore not to be supported.,3247.0,2063.0
4432,neither,A cap on rent increases upon tenant change is therefore not to be supported.,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,3248.0,2064.0
4433,neither,A cap on rent increases upon tenant change is therefore not to be supported.,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",3249.0,2065.0
4434,neither,A cap on rent increases upon tenant change is therefore not to be supported.,"Even if one might think that additional rent control is needed besides the current tenant protection,",3250.0,2066.0
4435,neither,A cap on rent increases upon tenant change is therefore not to be supported.,one should not deny longstanding owners the opportunity to adjust their returns to market level.,3251.0,2067.0
4436,neither,"Intelligence services should be more closely regulated by parliament,","for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services.",3252.0,2068.0
4437,neither,"Intelligence services should be more closely regulated by parliament,",Checks could contribute to restricting the so far rather opaque scope of action of individual services.,3253.0,2069.0
4438,neither,"Intelligence services should be more closely regulated by parliament,","Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws,",3254.0,2070.0
4439,neither,"Intelligence services should be more closely regulated by parliament,",as ultimately this decision is in the hands of the respective government leaders.,3255.0,2071.0
4440,support,"for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services.","Intelligence services should be more closely regulated by parliament,",3256.0,2072.0
4441,neither,"for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services.",Checks could contribute to restricting the so far rather opaque scope of action of individual services.,3257.0,2073.0
4442,neither,"for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services.","Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws,",3258.0,2074.0
4443,neither,"for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services.",as ultimately this decision is in the hands of the respective government leaders.,3259.0,2075.0
4444,support,Checks could contribute to restricting the so far rather opaque scope of action of individual services.,"Intelligence services should be more closely regulated by parliament,",3260.0,2076.0
4445,neither,Checks could contribute to restricting the so far rather opaque scope of action of individual services.,"for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services.",3261.0,2077.0
4446,neither,Checks could contribute to restricting the so far rather opaque scope of action of individual services.,"Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws,",3262.0,2078.0
4447,neither,Checks could contribute to restricting the so far rather opaque scope of action of individual services.,as ultimately this decision is in the hands of the respective government leaders.,3263.0,2079.0
4448,attack,"Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws,","Intelligence services should be more closely regulated by parliament,",3264.0,2080.0
4449,neither,"Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws,","for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services.",3265.0,2081.0
4450,neither,"Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws,",Checks could contribute to restricting the so far rather opaque scope of action of individual services.,3266.0,2082.0
4451,neither,"Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws,",as ultimately this decision is in the hands of the respective government leaders.,3267.0,2083.0
4452,neither,as ultimately this decision is in the hands of the respective government leaders.,"Intelligence services should be more closely regulated by parliament,",3268.0,2084.0
4453,neither,as ultimately this decision is in the hands of the respective government leaders.,"for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services.",3269.0,2085.0
4454,neither,as ultimately this decision is in the hands of the respective government leaders.,Checks could contribute to restricting the so far rather opaque scope of action of individual services.,3270.0,2086.0
4455,support,as ultimately this decision is in the hands of the respective government leaders.,"Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws,",3271.0,2087.0
4456,neither,"By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.","Besides, the purchase of such CDs is unnecessary today,",3272.0,2088.0
4457,neither,"By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.","as, due to changed terms of business, many banks urge their customers to turn themselves in.",3273.0,2089.0
4458,support,"By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.",Acquiring CDs with tax data of tax delinquents is therefore out of the question.,3274.0,2090.0
4459,neither,"By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.","It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.",3275.0,2091.0
4460,neither,"Besides, the purchase of such CDs is unnecessary today,","By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.",3276.0,2092.0
4461,neither,"Besides, the purchase of such CDs is unnecessary today,","as, due to changed terms of business, many banks urge their customers to turn themselves in.",3277.0,2093.0
4462,support,"Besides, the purchase of such CDs is unnecessary today,",Acquiring CDs with tax data of tax delinquents is therefore out of the question.,3278.0,2094.0
4463,neither,"Besides, the purchase of such CDs is unnecessary today,","It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.",3279.0,2095.0
4464,neither,"as, due to changed terms of business, many banks urge their customers to turn themselves in.","By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.",3280.0,2096.0
4465,support,"as, due to changed terms of business, many banks urge their customers to turn themselves in.","Besides, the purchase of such CDs is unnecessary today,",3281.0,2097.0
4466,neither,"as, due to changed terms of business, many banks urge their customers to turn themselves in.",Acquiring CDs with tax data of tax delinquents is therefore out of the question.,3282.0,2098.0
4467,neither,"as, due to changed terms of business, many banks urge their customers to turn themselves in.","It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.",3283.0,2099.0
4468,neither,Acquiring CDs with tax data of tax delinquents is therefore out of the question.,"By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.",3284.0,2100.0
4469,neither,Acquiring CDs with tax data of tax delinquents is therefore out of the question.,"Besides, the purchase of such CDs is unnecessary today,",3285.0,2101.0
4470,neither,Acquiring CDs with tax data of tax delinquents is therefore out of the question.,"as, due to changed terms of business, many banks urge their customers to turn themselves in.",3286.0,2102.0
4471,neither,Acquiring CDs with tax data of tax delinquents is therefore out of the question.,"It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.",3287.0,2103.0
4472,neither,"It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.","By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too.",3288.0,2104.0
4473,neither,"It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.","Besides, the purchase of such CDs is unnecessary today,",3289.0,2105.0
4474,neither,"It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.","as, due to changed terms of business, many banks urge their customers to turn themselves in.",3290.0,2106.0
4475,attack,"It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.",Acquiring CDs with tax data of tax delinquents is therefore out of the question.,3291.0,2107.0
4476,neither,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,This may be a change for the employees that cannot to be implemented easily.,3292.0,2108.0
4477,neither,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.",3293.0,2109.0
4478,neither,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.",3294.0,2110.0
4479,neither,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.",3295.0,2111.0
4480,attack,This may be a change for the employees that cannot to be implemented easily.,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,3296.0,2112.0
4481,neither,This may be a change for the employees that cannot to be implemented easily.,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.",3297.0,2113.0
4482,neither,This may be a change for the employees that cannot to be implemented easily.,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.",3298.0,2114.0
4483,neither,This may be a change for the employees that cannot to be implemented easily.,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.",3299.0,2115.0
4484,neither,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.",Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,3300.0,2116.0
4485,attack,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.",This may be a change for the employees that cannot to be implemented easily.,3301.0,2117.0
4486,neither,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.","Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.",3302.0,2118.0
4487,neither,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.","Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.",3303.0,2119.0
4488,support,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.",Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,3304.0,2120.0
4489,neither,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.",This may be a change for the employees that cannot to be implemented easily.,3305.0,2121.0
4490,neither,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.","However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.",3306.0,2122.0
4491,neither,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.","Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.",3307.0,2123.0
4492,neither,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.",Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,3308.0,2124.0
4493,neither,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.",This may be a change for the employees that cannot to be implemented easily.,3309.0,2125.0
4494,neither,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.","However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.",3310.0,2126.0
4495,support,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.","Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.",3311.0,2127.0
4496,support,It is desirable that no one channels his or her wealth past the tax authorities.,Those who do or try to should be held accountable if at all possible.,3312.0,2128.0
4497,neither,It is desirable that no one channels his or her wealth past the tax authorities.,"Having said that, state funds are often wasted on nonsensical investments,",3313.0,2129.0
4498,neither,It is desirable that no one channels his or her wealth past the tax authorities.,so that this ideal appears unworthy of support in many ways.,3314.0,2130.0
4499,neither,It is desirable that no one channels his or her wealth past the tax authorities.,"Besides, the trading of information is obviously driven by greed of gain.",3315.0,2131.0
4500,neither,It is desirable that no one channels his or her wealth past the tax authorities.,Tax data that are not made available for free should therefore not be acquired by the state.,3316.0,2132.0
4501,neither,Those who do or try to should be held accountable if at all possible.,It is desirable that no one channels his or her wealth past the tax authorities.,3317.0,2133.0
4502,neither,Those who do or try to should be held accountable if at all possible.,"Having said that, state funds are often wasted on nonsensical investments,",3318.0,2134.0
4503,neither,Those who do or try to should be held accountable if at all possible.,so that this ideal appears unworthy of support in many ways.,3319.0,2135.0
4504,neither,Those who do or try to should be held accountable if at all possible.,"Besides, the trading of information is obviously driven by greed of gain.",3320.0,2136.0
4505,attack,Those who do or try to should be held accountable if at all possible.,Tax data that are not made available for free should therefore not be acquired by the state.,3321.0,2137.0
4506,neither,"Having said that, state funds are often wasted on nonsensical investments,",It is desirable that no one channels his or her wealth past the tax authorities.,3322.0,2138.0
4507,neither,"Having said that, state funds are often wasted on nonsensical investments,",Those who do or try to should be held accountable if at all possible.,3323.0,2139.0
4508,support,"Having said that, state funds are often wasted on nonsensical investments,",so that this ideal appears unworthy of support in many ways.,3324.0,2140.0
4509,neither,"Having said that, state funds are often wasted on nonsensical investments,","Besides, the trading of information is obviously driven by greed of gain.",3325.0,2141.0
4510,neither,"Having said that, state funds are often wasted on nonsensical investments,",Tax data that are not made available for free should therefore not be acquired by the state.,3326.0,2142.0
4511,neither,so that this ideal appears unworthy of support in many ways.,It is desirable that no one channels his or her wealth past the tax authorities.,3327.0,2143.0
4512,neither,so that this ideal appears unworthy of support in many ways.,Those who do or try to should be held accountable if at all possible.,3328.0,2144.0
4513,neither,so that this ideal appears unworthy of support in many ways.,"Having said that, state funds are often wasted on nonsensical investments,",3329.0,2145.0
4514,neither,so that this ideal appears unworthy of support in many ways.,"Besides, the trading of information is obviously driven by greed of gain.",3330.0,2146.0
4515,support,so that this ideal appears unworthy of support in many ways.,Tax data that are not made available for free should therefore not be acquired by the state.,3331.0,2147.0
4516,neither,"Besides, the trading of information is obviously driven by greed of gain.",It is desirable that no one channels his or her wealth past the tax authorities.,3332.0,2148.0
4517,neither,"Besides, the trading of information is obviously driven by greed of gain.",Those who do or try to should be held accountable if at all possible.,3333.0,2149.0
4518,neither,"Besides, the trading of information is obviously driven by greed of gain.","Having said that, state funds are often wasted on nonsensical investments,",3334.0,2150.0
4519,neither,"Besides, the trading of information is obviously driven by greed of gain.",so that this ideal appears unworthy of support in many ways.,3335.0,2151.0
4520,support,"Besides, the trading of information is obviously driven by greed of gain.",Tax data that are not made available for free should therefore not be acquired by the state.,3336.0,2152.0
4521,neither,Tax data that are not made available for free should therefore not be acquired by the state.,It is desirable that no one channels his or her wealth past the tax authorities.,3337.0,2153.0
4522,neither,Tax data that are not made available for free should therefore not be acquired by the state.,Those who do or try to should be held accountable if at all possible.,3338.0,2154.0
4523,neither,Tax data that are not made available for free should therefore not be acquired by the state.,"Having said that, state funds are often wasted on nonsensical investments,",3339.0,2155.0
4524,neither,Tax data that are not made available for free should therefore not be acquired by the state.,so that this ideal appears unworthy of support in many ways.,3340.0,2156.0
4525,neither,Tax data that are not made available for free should therefore not be acquired by the state.,"Besides, the trading of information is obviously driven by greed of gain.",3341.0,2157.0
4526,support,Schweinsteiger has now been injured for three days.,We urgently need a midfield replacement for the coming match.,3342.0,2158.0
4527,neither,Schweinsteiger has now been injured for three days.,"The doctor was able to sign him off as fit for play with enough painkillers,",3343.0,2159.0
4528,neither,Schweinsteiger has now been injured for three days.,but that would only make the injury worse in the long run.,3344.0,2160.0
4529,neither,Schweinsteiger has now been injured for three days.,And a young substitute always invigorates the team.,3345.0,2161.0
4530,neither,We urgently need a midfield replacement for the coming match.,Schweinsteiger has now been injured for three days.,3346.0,2162.0
4531,neither,We urgently need a midfield replacement for the coming match.,"The doctor was able to sign him off as fit for play with enough painkillers,",3347.0,2163.0
4532,neither,We urgently need a midfield replacement for the coming match.,but that would only make the injury worse in the long run.,3348.0,2164.0
4533,neither,We urgently need a midfield replacement for the coming match.,And a young substitute always invigorates the team.,3349.0,2165.0
4534,attack,"The doctor was able to sign him off as fit for play with enough painkillers,",Schweinsteiger has now been injured for three days.,3350.0,2166.0
4535,neither,"The doctor was able to sign him off as fit for play with enough painkillers,",We urgently need a midfield replacement for the coming match.,3351.0,2167.0
4536,neither,"The doctor was able to sign him off as fit for play with enough painkillers,",but that would only make the injury worse in the long run.,3352.0,2168.0
4537,neither,"The doctor was able to sign him off as fit for play with enough painkillers,",And a young substitute always invigorates the team.,3353.0,2169.0
4538,neither,but that would only make the injury worse in the long run.,Schweinsteiger has now been injured for three days.,3354.0,2170.0
4539,neither,but that would only make the injury worse in the long run.,We urgently need a midfield replacement for the coming match.,3355.0,2171.0
4540,attack,but that would only make the injury worse in the long run.,"The doctor was able to sign him off as fit for play with enough painkillers,",3356.0,2172.0
4541,neither,but that would only make the injury worse in the long run.,And a young substitute always invigorates the team.,3357.0,2173.0
4542,neither,And a young substitute always invigorates the team.,Schweinsteiger has now been injured for three days.,3358.0,2174.0
4543,support,And a young substitute always invigorates the team.,We urgently need a midfield replacement for the coming match.,3359.0,2175.0
4544,neither,And a young substitute always invigorates the team.,"The doctor was able to sign him off as fit for play with enough painkillers,",3360.0,2176.0
4545,neither,And a young substitute always invigorates the team.,but that would only make the injury worse in the long run.,3361.0,2177.0
4546,neither,It is quite clear that Sunday should remain a day of rest.,"For you can go shopping 6 days a week,",3362.0,2178.0
4547,neither,It is quite clear that Sunday should remain a day of rest.,as shops are open till 10pm on some days.,3363.0,2179.0
4548,neither,It is quite clear that Sunday should remain a day of rest.,"Thus Sundays should remain a day for getting together with family,",3364.0,2180.0
4549,neither,It is quite clear that Sunday should remain a day of rest.,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,3365.0,2181.0
4550,neither,It is quite clear that Sunday should remain a day of rest.,"Furthermore, there's no need to keep shops open on Sundays.",3366.0,2182.0
4551,support,"For you can go shopping 6 days a week,",It is quite clear that Sunday should remain a day of rest.,3367.0,2183.0
4552,neither,"For you can go shopping 6 days a week,",as shops are open till 10pm on some days.,3368.0,2184.0
4553,neither,"For you can go shopping 6 days a week,","Thus Sundays should remain a day for getting together with family,",3369.0,2185.0
4554,neither,"For you can go shopping 6 days a week,",otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,3370.0,2186.0
4555,neither,"For you can go shopping 6 days a week,","Furthermore, there's no need to keep shops open on Sundays.",3371.0,2187.0
4556,neither,as shops are open till 10pm on some days.,It is quite clear that Sunday should remain a day of rest.,3372.0,2188.0
4557,support,as shops are open till 10pm on some days.,"For you can go shopping 6 days a week,",3373.0,2189.0
4558,neither,as shops are open till 10pm on some days.,"Thus Sundays should remain a day for getting together with family,",3374.0,2190.0
4559,neither,as shops are open till 10pm on some days.,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,3375.0,2191.0
4560,neither,as shops are open till 10pm on some days.,"Furthermore, there's no need to keep shops open on Sundays.",3376.0,2192.0
4561,support,"Thus Sundays should remain a day for getting together with family,",It is quite clear that Sunday should remain a day of rest.,3377.0,2193.0
4562,neither,"Thus Sundays should remain a day for getting together with family,","For you can go shopping 6 days a week,",3378.0,2194.0
4563,neither,"Thus Sundays should remain a day for getting together with family,",as shops are open till 10pm on some days.,3379.0,2195.0
4564,neither,"Thus Sundays should remain a day for getting together with family,",otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,3380.0,2196.0
4565,neither,"Thus Sundays should remain a day for getting together with family,","Furthermore, there's no need to keep shops open on Sundays.",3381.0,2197.0
4566,neither,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,It is quite clear that Sunday should remain a day of rest.,3382.0,2198.0
4567,neither,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,"For you can go shopping 6 days a week,",3383.0,2199.0
4568,neither,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,as shops are open till 10pm on some days.,3384.0,2200.0
4569,support,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,"Thus Sundays should remain a day for getting together with family,",3385.0,2201.0
4570,neither,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,"Furthermore, there's no need to keep shops open on Sundays.",3386.0,2202.0
4571,support,"Furthermore, there's no need to keep shops open on Sundays.",It is quite clear that Sunday should remain a day of rest.,3387.0,2203.0
4572,neither,"Furthermore, there's no need to keep shops open on Sundays.","For you can go shopping 6 days a week,",3388.0,2204.0
4573,neither,"Furthermore, there's no need to keep shops open on Sundays.",as shops are open till 10pm on some days.,3389.0,2205.0
4574,neither,"Furthermore, there's no need to keep shops open on Sundays.","Thus Sundays should remain a day for getting together with family,",3390.0,2206.0
4575,neither,"Furthermore, there's no need to keep shops open on Sundays.",otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,3391.0,2207.0
4576,neither,No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.,"Though there'd be the advantage of forgoing the embarrassment of a visit to the doctor or a nighttime trip to the walk-in clinic,",3392.0,2208.0
4577,neither,No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.,women should still be informed about the risks and have a gynaecological examination before taking it.,3393.0,2209.0
4578,neither,No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.,Furthermore there's the risk that women could use the over-the-counter morning-after pill as a substitute for contraception.,3394.0,2210.0
4579,attack,"Though there'd be the advantage of forgoing the embarrassment of a visit to the doctor or a nighttime trip to the walk-in clinic,",No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.,3395.0,2211.0
4580,neither,"Though there'd be the advantage of forgoing the embarrassment of a visit to the doctor or a nighttime trip to the walk-in clinic,",women should still be informed about the risks and have a gynaecological examination before taking it.,3396.0,2212.0
4581,neither,"Though there'd be the advantage of forgoing the embarrassment of a visit to the doctor or a nighttime trip to the walk-in clinic,",Furthermore there's the risk that women could use the over-the-counter morning-after pill as a substitute for contraception.,3397.0,2213.0
4582,neither,women should still be informed about the risks and have a gynaecological examination before taking it.,No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.,3398.0,2214.0
4583,attack,women should still be informed about the risks and have a gynaecological examination before taking it.,"Though there'd be the advantage of forgoing the embarrassment of a visit to the doctor or a nighttime trip to the walk-in clinic,",3399.0,2215.0
4584,neither,women should still be informed about the risks and have a gynaecological examination before taking it.,Furthermore there's the risk that women could use the over-the-counter morning-after pill as a substitute for contraception.,3400.0,2216.0
4585,support,Furthermore there's the risk that women could use the over-the-counter morning-after pill as a substitute for contraception.,No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.,3401.0,2217.0
4586,neither,Furthermore there's the risk that women could use the over-the-counter morning-after pill as a substitute for contraception.,"Though there'd be the advantage of forgoing the embarrassment of a visit to the doctor or a nighttime trip to the walk-in clinic,",3402.0,2218.0
4587,neither,Furthermore there's the risk that women could use the over-the-counter morning-after pill as a substitute for contraception.,women should still be informed about the risks and have a gynaecological examination before taking it.,3403.0,2219.0
4588,neither,Energy saving light bulbs contain a significant amount of toxins.,A commercially available bulb may contain for example up to five milligrams of mercury.,3404.0,2220.0
4589,support,Energy saving light bulbs contain a significant amount of toxins.,"That's why they should be taken off the market,",3405.0,2221.0
4590,neither,Energy saving light bulbs contain a significant amount of toxins.,unless they're unbreakable.,3406.0,2222.0
4591,neither,Energy saving light bulbs contain a significant amount of toxins.,But precisely this is unfortunately not the case.,3407.0,2223.0
4592,support,A commercially available bulb may contain for example up to five milligrams of mercury.,Energy saving light bulbs contain a significant amount of toxins.,3408.0,2224.0
4593,neither,A commercially available bulb may contain for example up to five milligrams of mercury.,"That's why they should be taken off the market,",3409.0,2225.0
4594,neither,A commercially available bulb may contain for example up to five milligrams of mercury.,unless they're unbreakable.,3410.0,2226.0
4595,neither,A commercially available bulb may contain for example up to five milligrams of mercury.,But precisely this is unfortunately not the case.,3411.0,2227.0
