,relationType,argSrc,argTrg
1192,neither,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
1193,neither,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods."
1194,neither,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).,"However, the effort required for the individual equally weighted modules differs strongly."
1195,attack,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).,It would therefore be wise to adjust the required effort for final theses accordingly.
1196,neither,"However, the effort required for the individual equally weighted modules differs strongly.",The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
1197,neither,"However, the effort required for the individual equally weighted modules differs strongly.","This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods."
1198,attack,"However, the effort required for the individual equally weighted modules differs strongly.",That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).
1199,neither,"However, the effort required for the individual equally weighted modules differs strongly.",It would therefore be wise to adjust the required effort for final theses accordingly.
1200,neither,It would therefore be wise to adjust the required effort for final theses accordingly.,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
1201,neither,It would therefore be wise to adjust the required effort for final theses accordingly.,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods."
1202,neither,It would therefore be wise to adjust the required effort for final theses accordingly.,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).
1203,neither,It would therefore be wise to adjust the required effort for final theses accordingly.,"However, the effort required for the individual equally weighted modules differs strongly."
1204,support,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work.",This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.
1205,neither,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work.",That's why causing such obstacles must to be more urgently punished.
1206,neither,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work.",Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
1207,neither,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work.",Yet then they misjudge its impact on road traffic.
1208,neither,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work."
1209,support,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.,That's why causing such obstacles must to be more urgently punished.
1210,neither,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
1211,neither,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.,Yet then they misjudge its impact on road traffic.
1212,neither,That's why causing such obstacles must to be more urgently punished.,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work."
1213,neither,That's why causing such obstacles must to be more urgently punished.,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.
1214,neither,That's why causing such obstacles must to be more urgently punished.,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
1215,neither,That's why causing such obstacles must to be more urgently punished.,Yet then they misjudge its impact on road traffic.
1216,neither,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work."
1217,neither,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.
1218,attack,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.,That's why causing such obstacles must to be more urgently punished.
1219,neither,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.,Yet then they misjudge its impact on road traffic.
1220,neither,Yet then they misjudge its impact on road traffic.,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work."
1221,neither,Yet then they misjudge its impact on road traffic.,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.
1222,neither,Yet then they misjudge its impact on road traffic.,That's why causing such obstacles must to be more urgently punished.
1223,attack,Yet then they misjudge its impact on road traffic.,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
1224,neither,'Property entails commitment' is one of the tenets of our social order.,Everyone should be able to get the utmost profit from his or her property.
1225,neither,'Property entails commitment' is one of the tenets of our social order.,"A fixing of rent prices according to the market alone, however, will lead to a further division of society."
1226,neither,'Property entails commitment' is one of the tenets of our social order.,The rich and poor live in different neighbourhoods.
1227,support,'Property entails commitment' is one of the tenets of our social order.,A constant increase in rent upon a change of tenants hence cannot be desired by society.
1228,attack,Everyone should be able to get the utmost profit from his or her property.,'Property entails commitment' is one of the tenets of our social order.
1229,neither,Everyone should be able to get the utmost profit from his or her property.,"A fixing of rent prices according to the market alone, however, will lead to a further division of society."
1230,neither,Everyone should be able to get the utmost profit from his or her property.,The rich and poor live in different neighbourhoods.
1231,neither,Everyone should be able to get the utmost profit from his or her property.,A constant increase in rent upon a change of tenants hence cannot be desired by society.
1232,neither,"A fixing of rent prices according to the market alone, however, will lead to a further division of society.",'Property entails commitment' is one of the tenets of our social order.
1233,attack,"A fixing of rent prices according to the market alone, however, will lead to a further division of society.",Everyone should be able to get the utmost profit from his or her property.
1234,neither,"A fixing of rent prices according to the market alone, however, will lead to a further division of society.",The rich and poor live in different neighbourhoods.
1235,neither,"A fixing of rent prices according to the market alone, however, will lead to a further division of society.",A constant increase in rent upon a change of tenants hence cannot be desired by society.
1236,neither,The rich and poor live in different neighbourhoods.,'Property entails commitment' is one of the tenets of our social order.
1237,neither,The rich and poor live in different neighbourhoods.,Everyone should be able to get the utmost profit from his or her property.
1238,support,The rich and poor live in different neighbourhoods.,"A fixing of rent prices according to the market alone, however, will lead to a further division of society."
1239,neither,The rich and poor live in different neighbourhoods.,A constant increase in rent upon a change of tenants hence cannot be desired by society.
1240,neither,A constant increase in rent upon a change of tenants hence cannot be desired by society.,'Property entails commitment' is one of the tenets of our social order.
1241,neither,A constant increase in rent upon a change of tenants hence cannot be desired by society.,Everyone should be able to get the utmost profit from his or her property.
1242,neither,A constant increase in rent upon a change of tenants hence cannot be desired by society.,"A fixing of rent prices according to the market alone, however, will lead to a further division of society."
1243,neither,A constant increase in rent upon a change of tenants hence cannot be desired by society.,The rich and poor live in different neighbourhoods.
1244,neither,"Large events that stir national or even international attention attract many visitors,",and nothing will get Berlin out of its financial jam more than a lot of spending visitors.
1245,support,"Large events that stir national or even international attention attract many visitors,",Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.
1246,neither,"Large events that stir national or even international attention attract many visitors,","Of course a higher federal subsidy would be even better for Berlin's coffers,"
1247,neither,"Large events that stir national or even international attention attract many visitors,",but you shouldn't bother hoping for that.
1248,neither,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.,"Large events that stir national or even international attention attract many visitors,"
1249,support,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.
1250,neither,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.,"Of course a higher federal subsidy would be even better for Berlin's coffers,"
1251,neither,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.,but you shouldn't bother hoping for that.
1252,neither,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,"Large events that stir national or even international attention attract many visitors,"
1253,neither,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.
1254,neither,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,"Of course a higher federal subsidy would be even better for Berlin's coffers,"
1255,neither,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,but you shouldn't bother hoping for that.
1256,neither,"Of course a higher federal subsidy would be even better for Berlin's coffers,","Large events that stir national or even international attention attract many visitors,"
1257,attack,"Of course a higher federal subsidy would be even better for Berlin's coffers,",and nothing will get Berlin out of its financial jam more than a lot of spending visitors.
1258,neither,"Of course a higher federal subsidy would be even better for Berlin's coffers,",Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.
1259,neither,"Of course a higher federal subsidy would be even better for Berlin's coffers,",but you shouldn't bother hoping for that.
1260,neither,but you shouldn't bother hoping for that.,"Large events that stir national or even international attention attract many visitors,"
1261,neither,but you shouldn't bother hoping for that.,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.
1262,neither,but you shouldn't bother hoping for that.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.
1263,attack,but you shouldn't bother hoping for that.,"Of course a higher federal subsidy would be even better for Berlin's coffers,"
1264,neither,Tomorrow I will skydive for the first time in my life.,"Yes, there is a certain risk to life."
1265,neither,Tomorrow I will skydive for the first time in my life.,But I want to experience this incredible moment of freedom that skydivers report time and again.
1266,neither,Tomorrow I will skydive for the first time in my life.,"Besides, Jochen was given a parachute jump the other day as a gift,"
1267,neither,Tomorrow I will skydive for the first time in my life.,and it mustn't be that this wannabe-adventurer has one up on me.
1268,attack,"Yes, there is a certain risk to life.",Tomorrow I will skydive for the first time in my life.
1269,neither,"Yes, there is a certain risk to life.",But I want to experience this incredible moment of freedom that skydivers report time and again.
1270,neither,"Yes, there is a certain risk to life.","Besides, Jochen was given a parachute jump the other day as a gift,"
1271,neither,"Yes, there is a certain risk to life.",and it mustn't be that this wannabe-adventurer has one up on me.
1272,support,But I want to experience this incredible moment of freedom that skydivers report time and again.,Tomorrow I will skydive for the first time in my life.
1273,neither,But I want to experience this incredible moment of freedom that skydivers report time and again.,"Yes, there is a certain risk to life."
1274,neither,But I want to experience this incredible moment of freedom that skydivers report time and again.,"Besides, Jochen was given a parachute jump the other day as a gift,"
1275,neither,But I want to experience this incredible moment of freedom that skydivers report time and again.,and it mustn't be that this wannabe-adventurer has one up on me.
1276,support,"Besides, Jochen was given a parachute jump the other day as a gift,",Tomorrow I will skydive for the first time in my life.
1277,neither,"Besides, Jochen was given a parachute jump the other day as a gift,","Yes, there is a certain risk to life."
1278,neither,"Besides, Jochen was given a parachute jump the other day as a gift,",But I want to experience this incredible moment of freedom that skydivers report time and again.
1279,neither,"Besides, Jochen was given a parachute jump the other day as a gift,",and it mustn't be that this wannabe-adventurer has one up on me.
1280,support,and it mustn't be that this wannabe-adventurer has one up on me.,Tomorrow I will skydive for the first time in my life.
1281,neither,and it mustn't be that this wannabe-adventurer has one up on me.,"Yes, there is a certain risk to life."
1282,neither,and it mustn't be that this wannabe-adventurer has one up on me.,But I want to experience this incredible moment of freedom that skydivers report time and again.
1283,neither,and it mustn't be that this wannabe-adventurer has one up on me.,"Besides, Jochen was given a parachute jump the other day as a gift,"
1284,neither,The morning-after pill has a number of side effects.,A differentiated analysis of its side effects is not achievable for a layperson without medical advice.
1285,neither,The morning-after pill has a number of side effects.,"However these are clearly stated on the package insert,"
1286,neither,The morning-after pill has a number of side effects.,and a request for an early termination of a pregnancy is the right of every woman.
1287,support,The morning-after pill has a number of side effects.,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.
1288,neither,A differentiated analysis of its side effects is not achievable for a layperson without medical advice.,The morning-after pill has a number of side effects.
1289,neither,A differentiated analysis of its side effects is not achievable for a layperson without medical advice.,"However these are clearly stated on the package insert,"
1290,neither,A differentiated analysis of its side effects is not achievable for a layperson without medical advice.,and a request for an early termination of a pregnancy is the right of every woman.
1291,support,A differentiated analysis of its side effects is not achievable for a layperson without medical advice.,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.
1292,attack,"However these are clearly stated on the package insert,",The morning-after pill has a number of side effects.
1293,neither,"However these are clearly stated on the package insert,",A differentiated analysis of its side effects is not achievable for a layperson without medical advice.
1294,neither,"However these are clearly stated on the package insert,",and a request for an early termination of a pregnancy is the right of every woman.
1295,neither,"However these are clearly stated on the package insert,",The morning-after pill should only be prescribed after counselling by a physician or pharmacist.
1296,neither,and a request for an early termination of a pregnancy is the right of every woman.,The morning-after pill has a number of side effects.
1297,neither,and a request for an early termination of a pregnancy is the right of every woman.,A differentiated analysis of its side effects is not achievable for a layperson without medical advice.
1298,neither,and a request for an early termination of a pregnancy is the right of every woman.,"However these are clearly stated on the package insert,"
1299,attack,and a request for an early termination of a pregnancy is the right of every woman.,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.
1300,neither,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.,The morning-after pill has a number of side effects.
1301,neither,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.,A differentiated analysis of its side effects is not achievable for a layperson without medical advice.
1302,neither,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.,"However these are clearly stated on the package insert,"
1303,neither,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.,and a request for an early termination of a pregnancy is the right of every woman.
1304,neither,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,","and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences."
1305,attack,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,","Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
1306,neither,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,",for we need general and independent media.
1307,neither,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,",After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.
1308,neither,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences.","Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,"
1309,attack,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences.","Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
1310,neither,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences.",for we need general and independent media.
1311,neither,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences.",After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.
1312,neither,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,","Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,"
1313,neither,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,","and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences."
1314,neither,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,",for we need general and independent media.
1315,neither,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,",After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.
1316,neither,for we need general and independent media.,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,"
1317,neither,for we need general and independent media.,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences."
1318,support,for we need general and independent media.,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
1319,neither,for we need general and independent media.,After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.
1320,neither,After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,"
1321,neither,After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences."
1322,neither,After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
1323,support,After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.,for we need general and independent media.
1324,neither,Complementary medicine includes treatments with proven health benefits in many areas,"which are often less costly than medication from conventional medicine, which are also paid for after all."
1325,neither,Complementary medicine includes treatments with proven health benefits in many areas,Often natural treatments do not put as much of a strain on the patient.
1326,neither,Complementary medicine includes treatments with proven health benefits in many areas,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
1327,support,Complementary medicine includes treatments with proven health benefits in many areas,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
1328,neither,"which are often less costly than medication from conventional medicine, which are also paid for after all.",Complementary medicine includes treatments with proven health benefits in many areas
1329,neither,"which are often less costly than medication from conventional medicine, which are also paid for after all.",Often natural treatments do not put as much of a strain on the patient.
1330,neither,"which are often less costly than medication from conventional medicine, which are also paid for after all.",Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
1331,support,"which are often less costly than medication from conventional medicine, which are also paid for after all.",The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
1332,neither,Often natural treatments do not put as much of a strain on the patient.,Complementary medicine includes treatments with proven health benefits in many areas
1333,neither,Often natural treatments do not put as much of a strain on the patient.,"which are often less costly than medication from conventional medicine, which are also paid for after all."
1334,neither,Often natural treatments do not put as much of a strain on the patient.,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
1335,support,Often natural treatments do not put as much of a strain on the patient.,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
1336,neither,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.,Complementary medicine includes treatments with proven health benefits in many areas
1337,neither,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.,"which are often less costly than medication from conventional medicine, which are also paid for after all."
1338,neither,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.,Often natural treatments do not put as much of a strain on the patient.
1339,support,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
1340,neither,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,Complementary medicine includes treatments with proven health benefits in many areas
1341,neither,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,"which are often less costly than medication from conventional medicine, which are also paid for after all."
1342,neither,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,Often natural treatments do not put as much of a strain on the patient.
1343,neither,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
1344,neither,Intelligence services must urgently be regulated more tightly by parliament;,this should be clear to everyone after the disclosures of Edward Snowden.
1345,neither,Intelligence services must urgently be regulated more tightly by parliament;,"Granted, those concern primarily the British and American intelligence services,"
1346,neither,Intelligence services must urgently be regulated more tightly by parliament;,but the German services evidently do collaborate with them closely.
1347,neither,Intelligence services must urgently be regulated more tightly by parliament;,"Their tools, data and expertise have been used to keep us under surveillance for a long time."
1348,support,this should be clear to everyone after the disclosures of Edward Snowden.,Intelligence services must urgently be regulated more tightly by parliament;
1349,neither,this should be clear to everyone after the disclosures of Edward Snowden.,"Granted, those concern primarily the British and American intelligence services,"
1350,neither,this should be clear to everyone after the disclosures of Edward Snowden.,but the German services evidently do collaborate with them closely.
1351,neither,this should be clear to everyone after the disclosures of Edward Snowden.,"Their tools, data and expertise have been used to keep us under surveillance for a long time."
1352,neither,"Granted, those concern primarily the British and American intelligence services,",Intelligence services must urgently be regulated more tightly by parliament;
1353,attack,"Granted, those concern primarily the British and American intelligence services,",this should be clear to everyone after the disclosures of Edward Snowden.
1354,neither,"Granted, those concern primarily the British and American intelligence services,",but the German services evidently do collaborate with them closely.
1355,neither,"Granted, those concern primarily the British and American intelligence services,","Their tools, data and expertise have been used to keep us under surveillance for a long time."
1356,neither,but the German services evidently do collaborate with them closely.,Intelligence services must urgently be regulated more tightly by parliament;
1357,neither,but the German services evidently do collaborate with them closely.,this should be clear to everyone after the disclosures of Edward Snowden.
1358,attack,but the German services evidently do collaborate with them closely.,"Granted, those concern primarily the British and American intelligence services,"
1359,neither,but the German services evidently do collaborate with them closely.,"Their tools, data and expertise have been used to keep us under surveillance for a long time."
1360,neither,"Their tools, data and expertise have been used to keep us under surveillance for a long time.",Intelligence services must urgently be regulated more tightly by parliament;
1361,neither,"Their tools, data and expertise have been used to keep us under surveillance for a long time.",this should be clear to everyone after the disclosures of Edward Snowden.
1362,neither,"Their tools, data and expertise have been used to keep us under surveillance for a long time.","Granted, those concern primarily the British and American intelligence services,"
1363,support,"Their tools, data and expertise have been used to keep us under surveillance for a long time.",but the German services evidently do collaborate with them closely.
1364,neither,There should be much higher fines for dog dirt left on pavements.,Stepping in dog dirt is gross and absolutely ruins your day
1365,neither,There should be much higher fines for dog dirt left on pavements.,"due to the dirt, the stench and the often considerable effort to get rid of it."
1366,neither,There should be much higher fines for dog dirt left on pavements.,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate."
1367,neither,There should be much higher fines for dog dirt left on pavements.,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,"
1368,neither,There should be much higher fines for dog dirt left on pavements.,but according to this logic one could hardly make the taxpayer accountable for almost any offense.
1369,support,Stepping in dog dirt is gross and absolutely ruins your day,There should be much higher fines for dog dirt left on pavements.
1370,neither,Stepping in dog dirt is gross and absolutely ruins your day,"due to the dirt, the stench and the often considerable effort to get rid of it."
1371,neither,Stepping in dog dirt is gross and absolutely ruins your day,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate."
1372,neither,Stepping in dog dirt is gross and absolutely ruins your day,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,"
1373,neither,Stepping in dog dirt is gross and absolutely ruins your day,but according to this logic one could hardly make the taxpayer accountable for almost any offense.
1374,neither,"due to the dirt, the stench and the often considerable effort to get rid of it.",There should be much higher fines for dog dirt left on pavements.
1375,support,"due to the dirt, the stench and the often considerable effort to get rid of it.",Stepping in dog dirt is gross and absolutely ruins your day
1376,neither,"due to the dirt, the stench and the often considerable effort to get rid of it.","Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate."
1377,neither,"due to the dirt, the stench and the often considerable effort to get rid of it.","Some dog owners assume that paying a dog licence fee covers the removal of such waste,"
1378,neither,"due to the dirt, the stench and the often considerable effort to get rid of it.",but according to this logic one could hardly make the taxpayer accountable for almost any offense.
1379,support,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate.",There should be much higher fines for dog dirt left on pavements.
1380,neither,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate.",Stepping in dog dirt is gross and absolutely ruins your day
1381,neither,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate.","due to the dirt, the stench and the often considerable effort to get rid of it."
1382,neither,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate.","Some dog owners assume that paying a dog licence fee covers the removal of such waste,"
1383,neither,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate.",but according to this logic one could hardly make the taxpayer accountable for almost any offense.
1384,attack,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,",There should be much higher fines for dog dirt left on pavements.
1385,neither,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,",Stepping in dog dirt is gross and absolutely ruins your day
1386,neither,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,","due to the dirt, the stench and the often considerable effort to get rid of it."
1387,neither,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,","Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate."
1388,neither,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,",but according to this logic one could hardly make the taxpayer accountable for almost any offense.
1389,neither,but according to this logic one could hardly make the taxpayer accountable for almost any offense.,There should be much higher fines for dog dirt left on pavements.
1390,neither,but according to this logic one could hardly make the taxpayer accountable for almost any offense.,Stepping in dog dirt is gross and absolutely ruins your day
1391,neither,but according to this logic one could hardly make the taxpayer accountable for almost any offense.,"due to the dirt, the stench and the often considerable effort to get rid of it."
1392,neither,but according to this logic one could hardly make the taxpayer accountable for almost any offense.,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate."
1393,attack,but according to this logic one could hardly make the taxpayer accountable for almost any offense.,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,"
1394,neither,"Germany's aging society is undergoing demographic change,",and the age of those who are physically and mentally fit is increasing steadily.
1395,support,"Germany's aging society is undergoing demographic change,",Thus social security and pension costs are increasing.
1396,neither,"Germany's aging society is undergoing demographic change,",Yet no one should be required to work for more than 40 years.
1397,neither,"Germany's aging society is undergoing demographic change,",Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
1398,neither,and the age of those who are physically and mentally fit is increasing steadily.,"Germany's aging society is undergoing demographic change,"
1399,support,and the age of those who are physically and mentally fit is increasing steadily.,Thus social security and pension costs are increasing.
1400,neither,and the age of those who are physically and mentally fit is increasing steadily.,Yet no one should be required to work for more than 40 years.
1401,neither,and the age of those who are physically and mentally fit is increasing steadily.,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
1402,neither,Thus social security and pension costs are increasing.,"Germany's aging society is undergoing demographic change,"
1403,neither,Thus social security and pension costs are increasing.,and the age of those who are physically and mentally fit is increasing steadily.
1404,neither,Thus social security and pension costs are increasing.,Yet no one should be required to work for more than 40 years.
1405,support,Thus social security and pension costs are increasing.,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
1406,neither,Yet no one should be required to work for more than 40 years.,"Germany's aging society is undergoing demographic change,"
1407,neither,Yet no one should be required to work for more than 40 years.,and the age of those who are physically and mentally fit is increasing steadily.
1408,neither,Yet no one should be required to work for more than 40 years.,Thus social security and pension costs are increasing.
1409,attack,Yet no one should be required to work for more than 40 years.,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
1410,neither,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.,"Germany's aging society is undergoing demographic change,"
1411,neither,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.,and the age of those who are physically and mentally fit is increasing steadily.
1412,neither,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.,Thus social security and pension costs are increasing.
1413,neither,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.,Yet no one should be required to work for more than 40 years.
1414,neither,One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.,And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.
1415,support,One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners."
1416,neither,One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.,"Of course, first they'd actually need to be caught in the act by public order officers,"
1417,neither,One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.,"but once they have to dig into their pockets, their laziness will sure vanish!"
1418,neither,And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.,One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.
1419,support,And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners."
1420,neither,And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.,"Of course, first they'd actually need to be caught in the act by public order officers,"
1421,neither,And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.,"but once they have to dig into their pockets, their laziness will sure vanish!"
1422,neither,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.",One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.
1423,neither,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.",And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.
1424,neither,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.","Of course, first they'd actually need to be caught in the act by public order officers,"
1425,neither,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.","but once they have to dig into their pockets, their laziness will sure vanish!"
